100,224000,1863,5088
500,1839820,5449,21124
1000,1987048,9725,47981
5000,9219639,44601,205550
10000,17501674,86279,474330
25000,48358036,217409,2183955
50000,109072856,426621,5107587
100000,206170453,840125,10546487
250000,520944542,2182370,30278707
500000,1118820817,4215415,74114979
750000,1756521717,6346057,134385615
1000000,2420037626,8556630,202131919
